Tarih;Anket þirketi;Örneklem;AKP;CHP;ÝYÝ;HDP;MHP;DEVA;GP;SP;ZP;YRP;BTP;TDP;MP;TÝP;Diðer;BBP;DP;Yýl;Ay;Ay_Yýl;Tarih1
13–21 Mar;Artýbir;1.500;31,1;27,9;12,2;11,6;5,7;2,6;1,2;1;0,3;1,3;0,9;;3,2;1;;;;2023;Mart;Mart 2023;1.03.2023
18-20 Mar;Yöneylem;2.400;35,1;28,1;9,3;9,8;6,9;0,5;;;0,9;1,6;;;3,6;3,3;1;;;2023;Mart;Mart 2023;1.03.2023
13-18 Mar;Optimar;1.916;38,4;25,9;7,8;9,5;7,7;0,3;0,3;0,3;0,3;1;;;6,2;0,7;0,4;0,9;;2023;Mart;Mart 2023;1.03.2023
12-17 Mar;Avrasya;2.560;29,1;31,9;10,5;10,2;7;2,1;0,8;0,9;1;1,5;;;1,6;1,6;1,3;;0,5;2023;Mart;Mart 2023;1.03.2023
11-15 Mar;Bulgu;1.800;32,7;26,8;12,5;10,2;7,1;0,9;0,2;0,9;0,4;0,7;0,2;;5,5;1,6;0,2;0,1;;2023;Mart;Mart 2023;1.03.2023
11-15 Mar;ORC;4.540;28,1;28,3;11,7;9,3;6,3;2;2,5;;1,5;1,2;1;1,3;2,3;1,5;1,4;1,6;;2023;Mart;Mart 2023;1.03.2023
8-15 Mar;MAK;5.750;34,2;26;13,6;9,3;6,3;2,1;1;0,9;1;1,3;1,2;0,1;1;;1,2;0,4;0,4;2023;Mart;Mart 2023;1.03.2023
Mart;Aksoy;1.537;31,8;27,8;11,4;10,3;6,9;0,6;0,6;0,8;;;;;;;9,7;;;2023;Mart;Mart 2023;1.03.2023
Mart;SAROS;10.826;36,7;26,5;10,5;12,3;6,1;1,3;0,5;0,6;;0,8;;;3;0,3;1,4;;;2023;Mart;Mart 2023;1.03.2023
Mart;GENAR;3.000;40,7;23,1;7;10,8;7,6;;;;;1,4;;;4,7;1,9;2,8;;;2023;Mart;Mart 2023;1.03.2023
Mart;Themis;1.459;27,5;30,8;9,7;9,7;3,6;2,4;1,1;1,1;8,5;2,2;;1,1;2,3;3,1;0,2;0,2;;2023;Mart;Mart 2023;1.03.2023
Mart;Piar;1.460;30,8;32,3;8,3;11,6;7,1;2,1;3,7;;;;1,8;;;;2,3;;;2023;Mart;Mart 2023;1.03.2023
